Phone3Name,PhoneNumberBusinessLine,TemporaryMessage,MailingAttentionName,LastVerifiedByPhoneNumber,ExcludeFromWebsite,RecordOwner,OfficialName,PhysicalPostalCode,MadeInactiveOn,CapacityType,Longitude,PreferredProvider,LastVerificationApprovedBy,SeniorWorkerName,AvailableForDirectory,PhysicalStateProvince,SeniorWorkerPhoneNumber,AnnualBudgetTotal,OtherCity,MailingAddress1,MailingAddress2,OtherPostalCode,PhoneFax,PhoneNumberOutOfArea,ParentAgency,MainContactEmailAddress,TaxonomyTerms,Latitude,OtherStateProvince,ConnectsToSiteNum,PhysicalLocationDescription,ParentAgencyNum,DocumentsRequired,YearIncorporated,FEIN,Hours,Match Type,TaxonomyTermsNotDeactivated,TaxonomyTerm,BusServiceAccess,LegalStatus,Categories,Phone4Number,ApplicationProcess,TaxonomyCodes,UpdatedOn,MailingCountry,990 Name,PhysicalCountry,AlternateName,Phone1Number,LastVerifiedByEmailAddress,Phone5Number,Phone3Number,AgencyStatus,InternalNotesForEditorsAndViewers,MainContactName,PhysicalAddress2,PhysicalAddress1,InternalNotes,AgencyDescription,HoursOfOperation,MailingPostalCode,TaxonomyLevelName,ResourceAgencyNum,LastVerifiedByName,Phone2Name,HighlightedResource,AvailableForReferral,DisabilitiesAccess,PublicName,SeniorWorkerTitle,ResourceInfo,Coverage,LastVerifiedByTitle,ServiceNotAlwaysAvailability,ExcludeFromDirectory,OtherCountry,IRSStatus,EmailAddressMain,TemporaryMessageAppears,SeniorWorkerEmailAddress,PhysicalCity,MainContactType,ConnectsToProgramNum,PhoneTollFree,PhoneTTY,AgencyClassification,FeeStructureSource,OtherCounty,Phone4Name,EnteredOn,SearchHints,EIN,Phone2Number,PhoneNumberHotline,CoverageArea,TemporaryMessageExpires,MailingStateProvince,WebsiteAddress,PhysicalCounty,Phone5Description,PublicAccessTransportation,AvailableForResearch,OtherAddress2,OtherAddress1,LastVerifiedOn,MailingCity,MainContactPhoneNumber,ServiceCapacity,MainContactTitle,LanguagesOffered,LicenseAccreditation,Phone1Name,CoverageAreaText,SourceOfFunds,PhoneNumberAfterHours,Eligibility
,,,Library Services For The Deaf Community Janice Rosen,,No,DCAP,,20001,,,-77.017972,FALSE,Awilda Ortiz,Janice Rosen,,DC,,,,"901 G Street, NW",Room 215,,,,DCG - Public Library,,Organizational/Community/International Services - Information Services - Libraries - Public Libraries; Education - Educational Programs - Adult Education; Organizational/Community/International Services - Information Services - Libraries - Special Librari,38.908569,DC,,,372054,,,,,,Organizational/Community/International Services - Information Services - Libraries - Public Libraries; Education - Educational Programs - Adult Education; Organizational/Community/International Services - Information Services - Libraries - Special Librari,Public Libraries; Adult Education; Disability Related Libraries; ,Transportation Available: 6                      ,None or unknown,"Adult Education; Consumer Education, Information; DC Government; Education-Materials; Information & Referral; Leisure-Cultural Enrichment; Hearing Impaired; Sign Language; TDD, TTY; Education General; Disability-Hearing Impairment; Leisure-Arts; Libraries",(202) 559-5368,Walk-In,TJ-4400.6500; HH-0500; TJ-4400.8100-180,12/7/11 8:33,United States,,United States,Library Services for the Deaf Community,(202) 727-2142,,1-866-570-7364,,Active,,,Room 215,"901 G Street, NW",,"The District of Columbia Library Services for the Deaf and Hard-of-Hearing is a special library dedicated to meeting the information and accessibility needs of the deaf and hard-of-hearing, as well as meeting information needs about hearing loss.",Monday & Tuesday: 12:00 - 9:00 p.m.; Wednesday-Saturday 9:30 a.m. -5:30 p.m.,20001,Program,373546,sf,,FALSE,,NW                     ,DCG - Public Library - Library Services for the Deaf Community,Director,,MD - Downtown County; ,,,No,United States,None or unknown,lbph.dcpl@dc.gov,,,Washington,,,,,,No fee                                                                                                                        ,,Videophone,1/27/00 0:00,373546,,,,District of Columbia,,DC,dclibrary.org,District Of Columbia,Video Relay Service,,,,,12/7/11 0:00,Washington,,,,English,,General Information,,,,None
Administrative Number,,,Literacy  For The Deaf Project Marcia Harrington,,No,DCAP,,20001,,,-77.017972,FALSE,Awilda Ortiz,Marcia Harrington,,DC,,,,"901 G Street, NW",Room 215,,(202) 727-1129,,DCG - Public Library,,Education - Educational Programs - Literacy Programs,38.908569,,,,372054,,,,,,Education - Educational Programs - Literacy Programs,Literacy Programs; ,Transportation Available: 6                      ,None or unknown,"Libraries; Leisure-Arts; Disability-Hearing Impairment; Education General; Adult Education; Consumer Education, Information; DC Government; Education-Materials; Information & Referral; Leisure-Cultural Enrichment; Education-Literacy; Volunteer Opportuniti",,Walk-In,HH-4500,10/1/11 14:38,United States,,United States,Literacy for the Deaf program,(202) 727-1616,,(202) 727-2145,(202) 727-2554,Active,,,Room 215,"901 G Street, NW",,Assures that the deaf community and their family members are aware of existing library and information services within the District of Columbia Public Library System.  Provides volunteer tutors who work one-to-one or in small groups with deaf adults who n,"9:30 am - 9:00 pm, Monday - Thursday; 9:30 am - 5:30 pm, Friday, Saturday;",20001,Program,373547,,,FALSE,,NW                     ,DCG - Public Library - Literacy for the Deaf Project,Project Manager,,MD - Downtown County; ,,,No,United States,None or unknown,,,,Washington,,,,,,No fee                                                                                                                        ,,,1/28/00 0:00,373547,,,,District of Columbia,,DC,dclibrary.org,District Of Columbia,TTY/TDD Number,,,,,10/1/11 0:00,Washington,,,,English,,General Information,,,,None
,,,Director D.C. Public Libraries Mary E. Raphael,,No,DCAP,,20001,,,-77.017972,FALSE,Awilda Ortiz,,,DC,,,,"901 G Street, NW",Suite 400,,(202) 727-0193,,DCG - Public Library,,Organizational/Community/International Services - Information Services - Libraries - Public Libraries; Education - Educational Programs - Adult Education; Target Populations - Topical Identifiers/Issues - Literacy Issues; Organizational/Community/Internat,38.908569,DC,,,372054,,,,,,Organizational/Community/International Services - Information Services - Libraries - Public Libraries; Education - Educational Programs - Adult Education; Target Populations - Topical Identifiers/Issues - Literacy Issues; Organizational/Community/Internat,Public Libraries; Adult Education; Literacy Issues; Information and Referral; ,Transportation Available: 2                      ,None or unknown,"Libraries; Education General; Education-Adult General; Adult Education; DC Government; Education-Materials; GED Preparation; Education-GED; Education-ESL, ESOL;",,Walk-In,TJ-4400.6500; HH-0500; YZ-4650; TJ-3000,12/7/11 8:37,United States,,United States,Martin Luther King Memorial Library,(202) 727-2431,,,,Active,,,Suite 300,"901 G Street, NW",,"Maintains Literacy Program directories, and provides information about the varied literacy, GED, ESOL, ABE, EDP and reading programs in the DC Metropolitan area.<br /><br />Home visits: Downtown               ",Monday & Tuesday: 12:00 - 9:00 p.m.; Wednesday thru Saturday 9:30 a.m. -5:30 p.m. ,20001,Program,373773,sf,,FALSE,,NW                     ,DCG - Public Library - Literacy Helpline,,,MD - Downtown County; ,,,No,United States,None or unknown,,,,Washington,,,,,,No fee                                                                                                                        ,,,2/28/01 0:00,373773,,,,District of Columbia,,DC,dclibrary.org,District Of Columbia,,,,,,12/7/11 0:00,Washington,,,,English,,Main Number,,,,None
,,,Director D.C. Public Libraries Mary E. Raphael,,No,DCAP,,20001,,,-77.017972,FALSE,Awilda Ortiz,,,DC,,,,"901 G Street, NW",Suite 300,,(202) 727-0193,,DCG - Public Library,,Organizational/Community/International Services - Information Services - Libraries - Public Libraries; Education - Educational Programs - Adult Education; Education - Educational Programs - Adult Education - Graduation Requirements Programs - GED Instruct,38.908569,DC,,,372054,,,,,,Organizational/Community/International Services - Information Services - Libraries - Public Libraries; Education - Educational Programs - Adult Education; Education - Educational Programs - Adult Education - Graduation Requirements Programs - GED Instruct,Public Libraries; Adult Education; GED Instruction; English as a Second Language; Information and Referral; ,Transportation Available: 2                      ,None or unknown,"GED Preparation; Adult Education; DC Government; Education-Materials; Education-GED; Education-ESL, ESOL; Education-Adult General; Education General; Libraries;",,Walk-In,TJ-4400.6500; HH-0500; HH-0500.2500-250; HH-0500.8000-150; TJ-3000,8/30/11 15:09,United States,,United States,Martin Luther King Memorial Library,(202) 727-1616,,,,Active,,,Suite 300,"901 G Street, NW",,"Maintains texts, audiovisual, computer and journal information for literacy tutors, teachers and volunteers.  Offers a computer assisted literacy center, tutoring space and ABE, ESL and GED study materials (including the GED Practice Test on specific days","Monday & Tuesday; 12:00- 9:00 pm, Wednesday - Saturday: 9:30 a.m. - 5:30 p.m.",20001,Program,373618,,Literacy Helpline,FALSE,,NW                     ,DCG - Public Library - Literacy Resource Division,,,MD - Downtown County; ,,,No,United States,None or unknown,,,,Washington,,,,,,No fee                                                                                                                        ,,,3/30/00 0:00,373618,,(202) 727-2431,,District of Columbia,,DC,dclibrary.org,District Of Columbia,,,,,,8/30/11 0:00,Washington,,,,English,,General Information,,,,None
After Hours,,,Director D.C. Public Libraries Jewel Ogonji,,No,DCAP,,20001,,,-77.017972,FALSE,Awilda Ortiz,Jewel Ogonji,,DC,,,,"901 G Street, NW",Suite 400,,(202) 727-1129,,DCG - Public Library,,Education - Educational Programs - Adult Education - Continuing Education,38.908569,,,,372054,,,,,,Education - Educational Programs - Adult Education - Continuing Education,Continuing Education; ,Transportation Available: 6                      ,None or unknown,"Education General; Libraries; Tax Assistance - Seasonal; Leisure-Arts; Adult Education; Consumer Education, Information; DC Government; Education-Materials; Information & Referral; Leisure-Cultural Enrichment;",,Walk-In,HH-0500.1600,10/1/11 13:52,United States,,United States,Martin Luther King Memorial Library,(202) 727-0321,,,(202) 727-1111,Active,,,Suite 400,"901 G Street, NW",,"Strives to acquire and organize information, books, and other materials to meet the educational, cultural and recreational needs of adults and children in the community.  Provides free access to these materials.<br /><br />Home visits: Downtown           ","Monday, Tuesday; 12:00pm - 9:00 pm, Wednesday - Saturday; 9:30 am - 5:30 pm, Sunday; 1:00 pm - 5:00 pm (Sunday closed during the summer)",20001,Program,373515,,,FALSE,,NW                     ,DCG - Public Library - Martin Luther King Memorial Library,Director,,MD - Downtown County; ,,,No,United States,None or unknown,,,,Washington,,,,,,No fee                                                                                                                        ,,,1/24/00 0:00,373515,,,,District of Columbia,,DC,http://www.dclibrary.org,District Of Columbia,,,,,,9/30/11 0:00,Washington,,,,English,,General Information,,,,None
,,,Mount Pleasant Branch Library Ellen Kardy,,No,DCAP,,20010,,,-77.029699,FALSE,Awilda Ortiz,Ellen Kardy,,DC,,,,"3162 Mt. Pleasant Street, NW",,,,,DCG - Public Library,,Organizational/Community/International Services - Information Services - Libraries - Public Libraries; Education - Educational Programs - Adult Education; Individual and Family Life - Leisure Activities,38.932816,DC,,,372054,,,,,,Organizational/Community/International Services - Information Services - Libraries - Public Libraries; Education - Educational Programs - Adult Education; Individual and Family Life - Leisure Activities,Public Libraries; Adult Education; Leisure Activities; ,Transportation Available: 1                      ,None or unknown,"DC Government; Education-Materials; Consumer Education, Information; Information & Referral; Leisure-Cultural Enrichment; Volunteer Opportunities; Leisure-Arts; Tax Assistance - Seasonal; Libraries; Education General;",,Walk-In,TJ-4400.6500; HH-0500; PL,12/7/11 8:43,United States,,United States,Mount Pleasant Branch Library,(202) 671-3121,,,,Active,,,,"3162 Mt. Pleasant Street, NW",,"Acquires and organizes information, including books and other materials to meet the educational, cultural & recreational needs of adults & children in the community.  Provides free access to these materials.<br /><br />Home visits: Mount Pleasant         ","1:00 pm - 9:00 pm, Monday, Wednesday; 9:30 am - 5:30 pm, Tuesday, Thursday, Friday & Saturday; Closed Sunday",20010,Program,373520,sf,,FALSE,,1,DCG - Public Library - Mount Pleasant Branch Library,Branch Librarian,,MD - Adams Morgan / Mount Pleasant County; ,,,No,United States,None or unknown,,,,Washington,,,,,,No fee                                                                                                                        ,,,1/26/00 0:00,373520,,,,District of Columbia,,DC,dclibrary.org,District Of Columbia,,,,,,12/7/11 0:00,Washington,,,,English,,Main Number,,,,None
,,,Northeast Branch Library Patricia Sullivan,,No,DCAP,,20002,,,-76.9861,FALSE,Awilda Ortiz,Patricia Sullivan,,DC,,,,"330 7Th Street, NE",,,,,DCG - Public Library,,Organizational/Community/International Services - Information Services - Libraries - Public Libraries; Education - Educational Programs - Adult Education; Individual and Family Life - Leisure Activities,38.9057,DC,,,372054,,,,,,Organizational/Community/International Services - Information Services - Libraries - Public Libraries; Education - Educational Programs - Adult Education; Individual and Family Life - Leisure Activities,Public Libraries; Adult Education; Leisure Activities; ,Transportation Available: 6                      ,None or unknown,"Education General; Education-Adult General; Libraries; Leisure-Arts; Leisure-Cultural Enrichment; Information & Referral; Consumer Education, Information; DC Government; Adult Education;",,Walk-In,TJ-4400.6500; HH-0500; PL,12/7/11 8:46,United States,,United States,Northeast Branch Library,(202) 698-3320,,,,Active,,,,"330 7Th Street, NE",,"Strives to acquire and organize information, books, and other materials to meet the educational, cultural and recreational needs of adults and children in the community.  Provides free access to these materials.  Provides Adult Basic Education Materials C","9:30 am - 5:30 pm, Monday, Wednesday, Friday, Saturday; 1:00 pm - 9:00 pm, Tuesday, Thursday; Closed Sunday",20003,Program,373525,sf,,FALSE,,6,DCG - Public Library - Northeast Branch Library,Branch Librarian,,MD - Capitol Hill County; ,,,No,United States,None or unknown,,,,Washington,,,,,,No fee                                                                                                                        ,,,1/26/00 0:00,373525,,,,Ward 6,,DC,dclibrary.org,District Of Columbia,,,,,,12/7/11 0:00,Washington,,,,English,,Main Number,,,,None
,,,Palisades Branch Library Lucy Thrasher,,No,DCAP,,20007,,,-77.0771,FALSE,Awilda Ortiz,Lucy Thrasher,,DC,,,,"4901 V Street, NW",,,,,DCG - Public Library,,Organizational/Community/International Services - Information Services - Libraries - Public Libraries; Education - Educational Programs - Adult Education; Individual and Family Life - Leisure Activities,38.9147,DC,,,372054,,,,,,Organizational/Community/International Services - Information Services - Libraries - Public Libraries; Education - Educational Programs - Adult Education; Individual and Family Life - Leisure Activities,Public Libraries; Adult Education; Leisure Activities; ,Transportation Available: 3                      ,None or unknown,"Adult Education; Consumer Education, Information; DC Government; Education-Materials; Information & Referral; Leisure-Cultural Enrichment; Leisure-Arts; Libraries; Tax Assistance - Seasonal; Education General;",,Walk-In,TJ-4400.6500; HH-0500; PL,12/7/11 8:49,United States,,United States,Palisades Branch Library,(202) 282-3139,,,,Active,,,,"4901 V Street, NW",,"Strives to acquire and organize information, books, and other materials to meet the educational, cultural & recreational needs of adults & children in the community.  Provides free access to these materials.<br /><br />Home visits: Palisades              ","9:30 am - 5:30 pm, Monday, Wednesday, Friday, Saturday; 1:00 pm - 9:00 pm, Tuesday, Thursday; Closed Sunday",20007,Program,373526,sf,,FALSE,,3,DCG - Public Library - Palisades Branch Library,Head Librarian,,MD - Georgetown / Palisades County; ,,,No,United States,None or unknown,,,,Washington,,,,,,No fee                                                                                                                        ,,,1/26/00 0:00,373526,,,,Ward 7,,DC,dclibrary.org,District Of Columbia,,,,,,12/7/11 0:00,Washington,,,,English,,General Information,,,,None
,,,Parklands-Turner Community Library Rita Strange,,No,DCAP,,20032,,,-77.000212,FALSE,Awilda Ortiz,Rita Strange,,DC,,,,"1547 Alabama Avenue, SE",,,,,DCG - Public Library,,Organizational/Community/International Services - Information Services - Libraries - Public Libraries; Education - Educational Programs - Adult Education; Individual and Family Life - Leisure Activities,38.835705,DC,,,372054,,,,,,Organizational/Community/International Services - Information Services - Libraries - Public Libraries; Education - Educational Programs - Adult Education; Individual and Family Life - Leisure Activities,Public Libraries; Adult Education; Leisure Activities; ,Transportation Available: 8                      ,None or unknown,"Education-Adult General; Education General; Libraries; Leisure-Arts; Leisure-Cultural Enrichment; Information & Referral; Consumer Education, Information; DC Government; Adult Education;",,Walk-In,TJ-4400.6500; HH-0500; PL,12/7/11 8:51,United States,,United States,Parklands-Turner Community Library,(202) 645-4532,,,,Active,,,,"1547 Alabama Avenue, SE",,"Strives to acquire and organize information, books, and other materials to meet the educational, cultural and recreational needs of adults and children in the community.  Provides free access to these materials.<br /><br />Home visits: Congress Heights   ","1:00 pm - 9:00 pm, Monday, Wednesday; Tuesday, Thursday, Friday, Saturday 9:30 am - 5:30 pm; Closed Sunday",20032,Program,373537,sf,,FALSE,,SE                     ,DCG - Public Library - Parklands-Turner Neighborhood Library,Manager,,MD - Anacostia County; ,,,No,United States,None or unknown,,,,Washington,,,,,,No fee                                                                                                                        ,,,1/27/00 0:00,373537,,,,Ward 8,,DC,dclibrary.org,District Of Columbia,,,,,,12/7/11 0:00,Washington,,,,English,,Main Number,,,,None
,,,Petworth Branch Library Anthony Porter,,No,DCAP,,20011,,,-77.017836,FALSE,Awilda Ortiz,Anthony Porter,,DC,,,,"4200 Kansas Avenue, NW",,,,,DCG - Public Library,,Organizational/Community/International Services - Information Services - Libraries - Public Libraries; Education - Educational Programs - Adult Education; Individual and Family Life - Leisure Activities,38.952387,DC,,,372054,,,,,,Organizational/Community/International Services - Information Services - Libraries - Public Libraries; Education - Educational Programs - Adult Education; Individual and Family Life - Leisure Activities,Public Libraries; Adult Education; Leisure Activities; ,Transportation Available: 4                      ,None or unknown,"Education General; Education-Adult General; Tax Assistance - Seasonal; Libraries; Leisure-Arts; Leisure-Cultural Enrichment; Information & Referral; Consumer Education, Information; DC Government; Adult Education;",,Walk-In,TJ-4400.6500; HH-0500; PL,12/7/11 8:53,United States,,United States,Petworth Branch Library,(202) 243-1188,,,,Active,,,,"4200 Kansas Avenue, NW",,"Strives to acquire and organize information, books, and other materials to meet the educational, cultural and recreational needs of adults and children in the community.  Provides free access to these materials.  Provides Adult Basic Education Materials C","1:00 pm - 9:00 pm, Monday, Wednesday; 9:30 am - 5:30 pm, Tuesday, Thursday, Friday, Saturday; Closed Sunday",20011,Program,373527,sf,,FALSE,,4,DCG - Public Library - Petworth Branch Library,Branch Librarian,,MD - Adams Morgan / Mount Pleasant County; ,,,No,United States,None or unknown,,,,Washington,,,,,,No fee                                                                                                                        ,,,1/26/00 0:00,373527,,,,Ward 4,,DC,dclibrary.org,District Of Columbia,,,,,,12/7/11 0:00,Washington,,,,English,,Main Number,,,,None
,,,Robert L. Christian Community Library Larry Day,,No,DCAP,,20002,,,-76.9861,FALSE,Awilda Ortiz,Larry Day,,DC,,,,"1300 H Street, NE",,,,,DCG - Public Library,,,38.9057,,,,372054,,,,,,,,Transportation Available: 6                      ,None or unknown,"Education-Adult General; Education General; Libraries; Leisure-Arts; Leisure-Cultural Enrichment; Information & Referral; Consumer Education, Information; DC Government; Adult Education;",,Walk-In,,10/1/11 14:26,United States,,United States,Robert L. Christian Community Library,(202) 724-8599,,,,Inactive,,,,"1300 H Street, NE",,"Strives to acquire and organize information, books, and other materials to meet the educational, cultural and recreational needs of adults and children in the community.  Provides free access to these materials.<br /><br />Home visits: Kingman Park       ","9:00 am - 5:30 pm, Monday - Friday",20002,Program,373535,,,FALSE,,NE                     ,DCG - Public Library - Robert L. Christian Community Library,Branch Librarian,,MD - Capitol Hill County; ,,,No,United States,None or unknown,,,,Washington,,,,,,No fee                                                                                                                        ,,,1/27/00 0:00,373535,,,,Ward 6,,DC,dclibrary.org,District Of Columbia,,,,,,10/1/11 0:00,Washington,,,,English,,Main Number,,,,None
Administrative Number,,,Mlk Mem.Library - Senior Bookmobile Service Doris Greer,,No,DCAP,,20001,,,-77.017972,FALSE,Awilda Ortiz,Doris Greer,,DC,,,,"901 G Street, NW",Room 215,,(202) 727-1129,,DCG - Public Library,,Organizational/Community/International Services - Information Services - Libraries - Public Libraries; Target Populations - Age Groups - Older Adults; Organizational/Community/International Services - Information Services - Public Awareness/Education - Ou,38.908569,DC,,,372054,,,,,,Organizational/Community/International Services - Information Services - Libraries - Public Libraries; Target Populations - Age Groups - Older Adults; Organizational/Community/International Services - Information Services - Public Awareness/Education - Ou,Public Libraries; Older Adults; Outreach Programs; Aging and Disability Resource Centers; Disability Related Libraries; ,Transportation Available: 6                      ,None or unknown,"Libraries; Leisure-Arts; Disability-Physical; Disability General; Education General; Adult Education; Consumer Education, Information; DC Government; Education-Materials; Information & Referral; Leisure-Cultural Enrichment; Handicapped;",,Walk-In,TJ-4400.6500; YB-8000; TJ-6500.6300; LH-0350; TJ-4400.8100-180,12/7/11 8:59,United States,,United States,Senior Bookmobile Service,(202) 727-2142,,,(202) 727-3040,Active,,,Room 215,"901 G Street, NW",,Provides access for those living in senior homes to all materials in the Library's collections through home delivery.<br /><br />Home visits: Downtown               ,"9:30 am - 9:00 pm, Monday - Thursday; 9:30 am - 5:30 pm, Friday, Saturday;",20001,Program,373549,sf,,FALSE,,NW                     ,DCG - Public Library - Senior Bookmobile Service,Manager,,MD - Downtown County; ,,,No,United States,None or unknown,,,,Washington,,,,,,No fee                                                                                                                        ,,,1/28/00 0:00,373549,,,,District of Columbia,,DC,dclibrary.org,District Of Columbia,,,,,,12/7/11 0:00,Washington,,,,English,,General Information,,,,None
,,,Services For The Blind And Visually Impared Marcia Harrington,,No,DCAP,,20001,,,-77.017972,FALSE,Awilda Ortiz,,,DC,,,,"901 G Street, NW",Room 215,,,,DCG - Public Library,,Organizational/Community/International Services - Information Services - Libraries - Special Libraries - Disability Related Libraries,38.908569,DC,,,372054,,,,,,Organizational/Community/International Services - Information Services - Libraries - Special Libraries - Disability Related Libraries,Disability Related Libraries; ,Transportation Available: 6                      ,None or unknown,"Volunteer Opportunities; Adult Education; Consumer Education, Information; DC Government; Education-Materials; Information & Referral; Leisure-Cultural Enrichment; Education-Literacy; Education General; Disability-Hearing Impairment; Leisure-Arts; Librari",,Walk-In,TJ-4400.8100-180,12/7/11 9:01,United States,,United States,Services for the Blind and Visually Impared,(202) 727-2142,,,,Active,,,Room 215,"901 G Street, NW",,"The District of Columbia Library for the Blind and Physically Handicapped lends recorded reading materials to individuals who are unable to read print materials due to a visual, physical or reading disability.<br />",Monday & Tuesday: 12:00 - 9:00 p.m.; Wednesday-Saturday 9:30 a.m. -5:30 p.m.,20001,Program,373548,sf,,FALSE,,NW                     ,DCG - Public Library - Services for the Blind & Visually Impaired,,,MD - Downtown County; ,,,No,United States,None or unknown,lbph.dcpl@dc.gov,,,Washington,,,,,,No fee                                                                                                                        ,,,1/28/00 0:00,373548,,,,District of Columbia,,DC,dclibrary.org,District Of Columbia,,,,,,12/7/11 0:00,Washington,,,,English,,"General Information, voice of TTY",,,,None
,,,Mlk Memorial Library - Blind And Handicapped Arthur Smith,,No,DCAP,,20001,,,-77.017972,FALSE,Awilda Ortiz,,,DC,,,,"901 G Street, NW",Room 215,,,,DCG - Public Library,,Organizational/Community/International Services - Information Services - Libraries - Special Libraries - Disability Related Libraries,38.908569,DC,,,372054,,,,,,Organizational/Community/International Services - Information Services - Libraries - Special Libraries - Disability Related Libraries,Disability Related Libraries; ,Transportation Available: 6                      ,None or unknown,"Handicapped; Adult Education; Consumer Education, Information; DC Government; Education-Materials; Information & Referral; Leisure-Cultural Enrichment; Libraries; Leisure-Arts; Education General; Disability-Physical; Disability General;",,Walk-In,TJ-4400.8100-180,12/7/11 9:03,United States,,United States,Services for the Homebound,(202) 727-2142,,,,Active,,,Room 215,"901 G Street, NW",,"The Adaptive Services Divisions mission is to make the libraryaccessible to all potential customers. This also includes readers who,because of a physical or mental impairment, are not able to come to thelibrary in person.",Monday & Tuesday: 12:00-9:00 p.m.; Wednesday- Saturday: 9:30 a.m. - 5:30 p.m.,20001,Program,373542,sf,,FALSE,,NW                     ,DCG - Public Library - Services for the Homebound,,,MD - Downtown County; ,,,No,United States,None or unknown,lbph.dcpl@dc.gov,,,Washington,,,,,,No fee                                                                                                                        ,,,1/27/00 0:00,373542,,,,District of Columbia,,DC,dclibrary.org,District Of Columbia,,,,,,12/7/11 0:00,Washington,,,,English,,General Information,,,,None
,,,Southeast Branch Library Sharon Kay Vollin,,No,DCAP,,20003,,,-76.9925,FALSE,Awilda Ortiz,Sharon Kay Vollin,,DC,,,,"403 7Th Street, SE",,,,,DCG - Public Library,,Organizational/Community/International Services - Information Services - Libraries - Public Libraries; Individual and Family Life - Leisure Activities; Education - Educational Programs - Adult Education,38.882,DC,,,372054,,,,,,Organizational/Community/International Services - Information Services - Libraries - Public Libraries; Individual and Family Life - Leisure Activities; Education - Educational Programs - Adult Education,Public Libraries; Leisure Activities; Adult Education; ,Transportation Available: 7                      ,None or unknown,"Adult Education; Consumer Education, Information; DC Government; Education-Materials; Information & Referral; Leisure-Cultural Enrichment; Leisure-Arts; Tax Assistance - Seasonal; Libraries; Education General;",,Walk-In,TJ-4400.6500; PL; HH-0500,12/7/11 9:06,United States,,United States,Southeast Branch Library,(202) 698-3377,,,,Active,,,,"403 7Th Street, SE",,"Strives to acquire and organize information, books, and other materials to meet the educational, cultural & recreational needs of adults & children in the community.  Provides free access to these materials.  Offers Adult Basic Education Materials Collect","9:30 am - 5:30 pm, Monday, Wednesday, Friday, Saturday; 9:30 am - 9:00 pm, Tuesday, Thursday; 1:00 pm - 5:00 pm, Sunday",20003,Program,373516,sf,,FALSE,,6,DCG - Public Library - Southeast Branch Library,Head Librarian,,MD - Capitol Hill County; ,,,No,United States,None or unknown,,,,Washington,,,,,,No fee                                                                                                                        ,,,1/24/00 0:00,373516,,,,Ward 7,,DC,dclibrary.org,District Of Columbia,,,,,,12/7/11 0:00,Washington,,,,English,,General Information,,,,None
,,,Southwest Branch Library Norberta Winborne,,No,DCAP,,20024,,,-77.018485,FALSE,Awilda Ortiz,Norberta Winborne,,DC,,,,"900 Wesley Place, SW",,,,,DCG - Public Library,,Organizational/Community/International Services - Information Services - Libraries - Public Libraries; Education - Educational Programs - Adult Education; Individual and Family Life - Leisure Activities,38.877718,DC,,,372054,,,,,,Organizational/Community/International Services - Information Services - Libraries - Public Libraries; Education - Educational Programs - Adult Education; Individual and Family Life - Leisure Activities,Public Libraries; Adult Education; Leisure Activities; ,Transportation Available: 2                      ,None or unknown,"Adult Education; Consumer Education, Information; DC Government; Education-Materials; Information & Referral; Leisure-Cultural Enrichment; Leisure-Arts; Libraries; Tax Assistance - Seasonal; Education General;",,Walk-In,TJ-4400.6500; HH-0500; PL,12/7/11 9:08,United States,,United States,Southwest Branch Library,(202) 724-4752,,,,Active,,,,"900 Wesley Place, SW",,"Strives to acquire and organize information, books, and other materials to meet the educational, cultural & recreational needs of adults & children in the community.  Provides free access to these materials.  Offers Adult Basic Education Materials Collect","1:00 pm- 9:00 pm, Monday, Wednesday; 9:30 am - 5:30 pm, Tuesday, Thursday, Friday, Saturday; Closed Sunday",20024,Program,373528,sf,,FALSE,,2,DCG - Public Library - Southwest Branch Library,Branch Librarian,,MD - Southwest County; ,,,No,United States,None or unknown,,,,Washington,,,,,,No fee                                                                                                                        ,,,1/27/00 0:00,373528,,,,Ward 2,,DC,dclibray.org,District Of Columbia,,,,,,12/7/11 0:00,Washington,,,,English,,General Information,,,,None
,,,Sursum Corda Community Library Eugene Brown,,No,DCAP,,20001,,,-77.017972,FALSE,Awilda Ortiz,Eugene Brown,,DC,,,,"135 New York Avenue, NW",,,,,DCG - Public Library,,,38.908569,,,,372054,,,,,,,,Transportation Available: 2                      ,None or unknown,"Leisure-Cultural Enrichment; Information & Referral; Consumer Education, Information; DC Government; Adult Education; Leisure-Arts; Libraries; Education General; Education-Adult General;",,Walk-In,,10/1/11 14:27,United States,,United States,Sursum Corda Community Library,(202) 724-4772,,,,Inactive,,,,"135 New York Avenue, NW",,"Strives to acquire and organize information, books, and other materials to meet the educational, cultural and recreational needs of adults and children in the community.  Provides free access to these materials.<br /><br />Home visits: Mount Vernon Square","9:30 am - 5:30 pm, Monday - Friday",20001,Program,373536,,,FALSE,,NE                     ,DCG - Public Library - Sursum Corda Community Library,Head Librarian,,MD - Downtown County; ,,,No,United States,None or unknown,,,,Washington,,,,,,No fee                                                                                                                        ,,,1/27/00 0:00,373536,,,,Ward 2,,DC,dclibrary.org,District Of Columbia,,,,,,10/1/11 0:00,Washington,,,,English,,Main Number,,,,None
